,index,city_name,lon,lat,date,temperature,feels_like,wind,city,name,url,score,description,gps
0,0,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Au Mont Pour Deux,https://www.booking.com/hotel/fr/au-mont-pour-deux.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,8.3,Managed by a private host,"48.61349776,-1.48584455"
1,1,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Gites Bellevue,https://www.booking.com/hotel/fr/gites-bellevue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.3,Managed by a private host,"48.60788007,-1.51722372"
2,2,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Chambres d'Hôtes Les Vieilles Digues,https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.3,"Set in a renovated Breton-style house, this family-run B&B is located in Beauvoir, 3 km from Mont-Saint-Michel. ","48.60418750,-1.51159912"
3,3,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Maison au pied du Mont Saint Michel,https://www.booking.com/hotel/fr/maison-au-pied-du-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.0,"Boasting garden views, Maison au pied du Mont Saint Michel offers accommodation with a terrace and a kettle, around 21 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel. ","48.61267358,-1.48553065"
4,4,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Au Mont Chez Nous Jaccuzi et Sauna,https://www.booking.com/hotel/fr/26-route-de-la-rive-ardevon.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.2,Managed by a private host,"48.61345530,-1.48587230"
5,5,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Les 2 Clos,https://www.booking.com/hotel/fr/les-deux-clos-pontorson.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,8.8,"Featuring free bikes, Les 2 Clos features accommodation in Ardevon. All of the holiday homes feature a private bathroom, flat-screen TV, fully-equipped kitchen and terrace. ","48.61396610,-1.48579173"
6,6,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Vent des Grèves,https://www.booking.com/hotel/fr/vent-des-greves-pontorson.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.2,"Vent des Grèves features garden views, free WiFi and free private parking, set in Pontorson, 8.1 km from Mont Saint Michel Abbey. ","48.61540300,-1.49144000"
7,7,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Mon Saint Michel,https://www.booking.com/hotel/fr/mon-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,"Set 8.6 km from Mont Saint Michel Abbey, Mon Saint Michel offers accommodation with free bikes, a garden and a 24-hour front desk for your convenience. ","48.61362700,-1.48579100"
8,8,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Etoile des Grèves,https://www.booking.com/hotel/fr/etoile-des-greves.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.3,"Situated in Ardevon in the Lower Normandy region, Etoile des Grèves features accommodation with free WiFi and free private parking. ","48.61550900,-1.49152400"
9,9,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.8,This hotel is situated in the countryside of Normandy and offers free Wi-Fi Flat-screen TVs with satellite channels are provided in all of the modern guest rooms at Auberge de la Baie. ,"48.61599318,-1.48825318"
